"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 06 17:06:33 IST 2023","Mon Mar 06 17:06:33 IST 2023","275","","Expenses Module - regression","","","","Logout of the Application",""
"passed","Mon Mar 06 17:06:28 IST 2023","Mon Mar 06 17:06:28 IST 2023","457","","Expenses Module - regression","","","","Navigate to Expenses Module and Click on Add Expense Button",""
"passed","Mon Mar 06 17:06:30 IST 2023","Mon Mar 06 17:06:30 IST 2023","402","","Expenses Module - regression","","","","Navigate to Transactions Module Enter Student ID and Enter the Student ID and Click on Search",""
"passed","Mon Mar 06 17:06:24 IST 2023","Mon Mar 06 17:06:28 IST 2023","4101","","Expenses Module - regression","","","","Launch Browser and Login into Application",""
"broken","Mon Mar 06 17:07:14 IST 2023","Mon Mar 06 17:07:19 IST 2023","5231","","Creating New Administrator","","","","Enter all necessary Details and Click on Save button",""
"broken","Mon Mar 06 17:07:19 IST 2023","Mon Mar 06 17:07:29 IST 2023","10468","","Creating New Administrator","","","","Validation of Admin Creation",""
"passed","Mon Mar 06 17:06:51 IST 2023","Mon Mar 06 17:06:55 IST 2023","4459","","Creating New Activity","","","","Launch Browser and Login into Application",""
"passed","Mon Mar 06 17:06:10 IST 2023","Mon Mar 06 17:06:10 IST 2023","553","","Creating New Administrator - regression","","","","Navigate to Administrator Page and Click on Add Admin Button",""
"passed","Mon Mar 06 17:06:10 IST 2023","Mon Mar 06 17:06:11 IST 2023","960","","Creating New Administrator - regression","","","","Enter all necessary Details and Click on Save button",""
"passed","Mon Mar 06 17:07:06 IST 2023","Mon Mar 06 17:07:06 IST 2023","280","","Creating New Activity","","","","Logout of the Application",""
"passed","Mon Mar 06 17:06:11 IST 2023","Mon Mar 06 17:06:12 IST 2023","304","","Creating New Administrator - regression","","","","Validation of Admin Creation",""
"passed","Mon Mar 06 17:06:20 IST 2023","Mon Mar 06 17:06:21 IST 2023","254","","Deleting an Activity - smoke","","","","Logout of the Application",""
"passed","Mon Mar 06 17:07:29 IST 2023","Mon Mar 06 17:07:30 IST 2023","216","","Creating New Administrator","","","","Logout Of the Application",""
"passed","Mon Mar 06 17:06:02 IST 2023","Mon Mar 06 17:06:03 IST 2023","516","","Creating New Activity - smoke","","","","Logout of the Application",""
"passed","Mon Mar 06 17:06:12 IST 2023","Mon Mar 06 17:06:12 IST 2023","536","","Creating New Administrator - regression","","","","Logout Of the Application",""
"broken","Mon Mar 06 17:07:13 IST 2023","Mon Mar 06 17:07:14 IST 2023","819","","Creating New Administrator","","","","Navigate to Administrator Page and Click on Add Admin Button",""
"passed","Mon Mar 06 17:06:01 IST 2023","Mon Mar 06 17:06:02 IST 2023","1130","","Creating New Activity - smoke","","","","Create Activity with all Necessary Details",""
"passed","Mon Mar 06 17:06:19 IST 2023","Mon Mar 06 17:06:19 IST 2023","287","","Deleting an Activity - smoke","","","","Navigate to Activities Module",""
"failed","Mon Mar 06 17:06:30 IST 2023","Mon Mar 06 17:06:33 IST 2023","2888","","Expenses Module - regression","","","","Check for the Created Expense",""
"passed","Mon Mar 06 17:06:01 IST 2023","Mon Mar 06 17:06:01 IST 2023","474","","Creating New Activity - smoke","","","","Navigate to Activities Module and Click on Add Activity",""
"passed","Mon Mar 06 17:05:56 IST 2023","Mon Mar 06 17:06:01 IST 2023","4598","","Creating New Activity - smoke","","","","Launch Browser and Login into Application",""
"passed","Mon Mar 06 17:06:15 IST 2023","Mon Mar 06 17:06:19 IST 2023","4066","","Deleting an Activity - smoke","","","","Launch Browser and Login into Application",""
"passed","Mon Mar 06 17:07:09 IST 2023","Mon Mar 06 17:07:13 IST 2023","4105","","Creating New Administrator","","","","Launch Browser and Login into Application",""
"passed","Mon Mar 06 17:06:19 IST 2023","Mon Mar 06 17:06:20 IST 2023","1165","","Deleting an Activity - smoke","","","","Search and Delete Activity",""
"passed","Mon Mar 06 17:06:06 IST 2023","Mon Mar 06 17:06:10 IST 2023","4130","","Creating New Administrator - regression","","","","Launch Browser and Login into Application",""
"broken","Mon Mar 06 17:06:55 IST 2023","Mon Mar 06 17:06:56 IST 2023","156","","Creating New Activity","","","","Navigate to Activities Module and Click on Add Activity",""
"broken","Mon Mar 06 17:06:56 IST 2023","Mon Mar 06 17:07:06 IST 2023","10231","","Creating New Activity","","","","Create Activity with all Necessary Details",""
"passed","Mon Mar 06 17:06:28 IST 2023","Mon Mar 06 17:06:30 IST 2023","1492","","Expenses Module - regression","","","","Create Expense with all Necessary Details",""
